#[1] Location, [2] Parameter, [3] Interesting, [4] Unimodal, [5] Convex, [6] Trivially Convex, [7] % Instances Interesting, [8] % Instances Unimodal, [9] % Instances Convex, [10] % Instances Trivially Convex, [11] Average number of modes per instance, [12] Fitness Distance Correlation (Median), [13] Fitness Distance Correlation (Q2.5), [14] Fitness Distance Correlation (Q97.5), [15] Average Instance Fitness Distance Correlation (Median), [16] Average Instance Fitness Distance Correlation (Q2.5), [17] Average Instance Fitness Distance Correlation (Q97.5)
scenarios/EAX/slices-tsp-rue-1000-3000, npop, 1, 1, 1, 0, 100.0, 100.0, 100.0, 0.0, 1.0, 0.0633240442514652, -0.0188655589317451, 0.18648362993998546, 0.7932417738507683, 0.7808522558513584, 0.8051821558981014
scenarios/CaDiCaL/slices-circuit-fuzz, compactint, 0, 1, 1, 0, 91.76672384219555, 100.0, 100.0, 3.7735849056603774, 1.0, 0.10066619055578498, -0.26689038109864255, 0.4520277792690267, 0.1600559500421947, 0.14321902269221454, 0.17766703577294124
scenarios/CaDiCaL/slices-circuit-fuzz, compactlim, 0, 1, 1, 0, 90.22298456260721, 100.0, 99.82847341337907, 3.7735849056603774, 1.0, 0.12804836966294927, -0.3210593120067817, 0.5874030480184226, 0.15976245976190315, 0.14290095585210763, 0.17729662245250996
scenarios/CaDiCaL/slices-circuit-fuzz, compactmin, 0, 1, 1, 0, 91.25214408233276, 100.0, 99.82847341337907, 3.7735849056603774, 1.0, 0.14646071156541404, -0.256165836287126, 0.47588425217406005, 0.1409839030698381, 0.12210893433528731, 0.1586935285095842
scenarios/CaDiCaL/slices-circuit-fuzz, decomposerounds, 0, 1, 1, 0, 89.87993138936535, 100.0, 100.0, 3.7735849056603774, 1.0, 0.16638268338662332, -0.23378377595734787, 0.5141098212297968, 0.15580086292533707, 0.139241876087154, 0.1725976134834389
scenarios/CaDiCaL/slices-circuit-fuzz, elimclslim, 0, 1, 1, 0, 89.02229845626073, 100.0, 99.65694682675816, 3.7735849056603774, 1.0, 0.055666118280402965, -0.3108717976322269, 0.5193794261256827, 0.14146580041091725, 0.12443592812909192, 0.1606750485563421
scenarios/CaDiCaL/slices-circuit-fuzz, eliminit, 0, 1, 1, 0, 97.94168096054888, 36.87821612349914, 12.178387650085764, 3.0874785591766725, 1.8902229845626073, 0.42397801641727845, -0.09951307890849369, 0.7716146511791275, 0.36255758616341377, 0.3517181600449541, 0.37378796439136047
scenarios/CaDiCaL/slices-circuit-fuzz, elimint, 0, 1, 1, 0, 96.91252144082333, 47.85591766723842, 39.451114922813034, 2.9159519725557463, 1.9965694682675814, 0.19115777747692345, -0.12642011541073908, 0.46035217394784334, 0.07949939340246487, 0.06459286045668584, 0.09461433740930289
scenarios/CaDiCaL/slices-circuit-fuzz, elimocclim, 0, 1, 1, 0, 90.05145797598628, 99.82847341337907, 99.65694682675816, 3.7735849056603774, 1.0017152658662092, 0.07797271855397342, -0.36918852237305727, 0.5840949505094944, 0.16281665187286543, 0.1465040994382177, 0.1800471295422334
scenarios/CaDiCaL/slices-circuit-fuzz, elimrounds, 0, 1, 1, 0, 92.7958833619211, 97.94168096054888, 84.73413379073756, 3.7735849056603774, 1.020583190394511, 0.023812357614248474, -0.2268564163719748, 0.44291830441480023, 0.1142599235822391, 0.09722650365017187, 0.13054540079684473
