#[1] Location, [2] Parameter, [3] Interesting, [4] Unimodal, [5] Convex, [6] Trivially Convex, [7] % Instances Interesting, [8] % Instances Unimodal, [9] % Instances Convex, [10] % Instances Trivially Convex, [11] Average number of modes per instance, [12] Fitness Distance Correlation (Median), [13] Fitness Distance Correlation (Q2.5), [14] Fitness Distance Correlation (Q97.5), [15] Average Instance Fitness Distance Correlation (Median), [16] Average Instance Fitness Distance Correlation (Q2.5), [17] Average Instance Fitness Distance Correlation (Q97.5)
scenarios/CaDiCaL/slices-circuit-fuzz, subsumeinit, 0, 1, 1, 0, 92.4528301887, 97.2555746141, 97.5986277873, 3.43053173242, 1.06174957118, 0.226522210877, -0.148775846636, 0.512119179861, 0.144962615657, 0.12626959065, 0.163224050644
scenarios/CaDiCaL/slices-circuit-fuzz, subsumeocclim, 0, 1, 1, 0, 91.5951972556, 100.0, 97.2555746141, 3.60205831904, 1.0, 0.0887251974603, -0.23457772802, 0.597424811915, 0.13804513035, 0.121330672854, 0.155754124061
scenarios/CaDiCaL/slices-circuit-fuzz, transredmaxeff, 0, 1, 1, 0, 90.7375643225, 100.0, 100.0, 3.77358490566, 1.0, 0.0217182808514, -0.376163553092, 0.520373734696, 0.151076463153, 0.132218123617, 0.168216940982
scenarios/CaDiCaL/slices-circuit-fuzz, transredmineff, 0, 1, 1, 0, 91.423670669, 100.0, 100.0, 3.77358490566, 1.0, 0.126859178195, -0.264417030932, 0.479292717355, 0.150862280216, 0.132906115483, 0.168848051135
scenarios/CaDiCaL/slices-circuit-fuzz, transredreleff, 0, 1, 1, 0, 90.3945111492, 100.0, 99.8284734134, 3.77358490566, 1.0, 0.230369428759, -0.256161026116, 0.618206422196, 0.156112610721, 0.139422011138, 0.174421797956
scenarios/CaDiCaL/slices-circuit-fuzz, vivifymaxeff, 0, 1, 1, 0, 90.051457976, 100.0, 99.6569468268, 3.77358490566, 1.0, 0.219830738763, -0.231045635629, 0.594374895616, 0.175238994121, 0.158272989191, 0.192489359398
scenarios/CaDiCaL/slices-circuit-fuzz, vivifymineff, 0, 1, 1, 0, 93.3104631218, 100.0, 100.0, 3.60205831904, 1.0, 0.0472482505045, -0.381940104551, 0.648073482845, 0.14608478843, 0.126826895652, 0.164703460185
scenarios/CaDiCaL/slices-circuit-fuzz, vivifyreleff, 0, 1, 1, 0, 93.653516295, 99.8284734134, 99.8284734134, 3.77358490566, 1.00171526587, 0.15489044916, -0.308005550588, 0.543381447054, 0.129476161256, 0.112258980576, 0.149822052683
scenarios/CPLEX/slices-regions200, barrier_limits_corrections, 0, 1, 1, 0, 2.6, 100.0, 100.0, 0.0, 1.0, 0.148305764183, -0.29050549896, 0.583970359095, 0.150292488036, 0.136427629163, 0.163108454559
scenarios/CPLEX/slices-regions200, barrier_limits_growth, 0, 1, 1, 0, 1.9, 100.0, 100.0, 0.0, 1.0, 0.174947384259, -0.302542140278, 0.58486686239, 0.138165650992, 0.124044219012, 0.151754101434
scenarios/CPLEX/slices-regions200, mip_limits_aggforcut, 0, 1, 1, 0, 1.6, 100.0, 100.0, 0.0, 1.0, 0.264694650581, -0.230011284739, 0.682205813747, 0.230711715729, 0.215422673707, 0.246790222415
scenarios/CPLEX/slices-regions200, mip_limits_cutpasses, 0, 1, 1, 0, 10.9, 100.0, 100.0, 0.0, 1.0, 0.376364103692, -0.264702670177, 0.774716336046, 0.356565287838, 0.339735227218, 0.372432831202
scenarios/CPLEX/slices-regions200, mip_limits_cutsfactor, 1, 1, 1, 0, 94.2, 100.0, 99.0, 0.0, 1.0, 0.538415827766, -0.226200886872, 0.683020435768, 0.454157355149, 0.439975008419, 0.467866200607
